popularity,original_title,director,runtime,release_date,vote_count,vote_average,budget_adj,revenue_adj
2.293859,The Fault in Our Stars,Josh Boone,125,5/16/2014,2389,7.8,11053092.61,281072099.3
2.260131,I Origins,Mike Cahill,106,7/18/2014,652,7.5,0,309921.348
2.165462,Ride Along,Tim Story,99,1/17/2014,634,6.1,23027276.27,141846012.9
2.161064,The Captive,Atom Egoyan,112,6/10/2014,218,5.8,0,990336.8338
2.160156,Inherent Vice,Paul Thomas Anderson,148,12/25/2014,552,6.3,18421821.02,10234219.64
2.141491,Jack Ryan: Shadow Recruit,Kenneth Branagh,105,1/15/2014,873,5.9,55265463.05,46560330.08
2.136758,Non-Stop,Jaume Collet-Serra,106,1/26/2014,1648,6.8,46054552.54,205227928.6
2.116264,Predestination,Michael Spierig|Peter Spierig,97,8/28/2014,1136,7.2,5066000.779,2763273.152
2.103532,Aut_³mata,Gabe Ib_¡_±ez,110,10/9/2014,436,5.4,6447637.355,0
2.078514,Mythica: A Quest for Heroes,Anne K. Black,93,12/8/2014,29,5.3,0,0
1.957672,The Drop,Micha_«l R. Roskam,106,9/12/2014,583,6.6,11605747.24,17186067.76
1.940735,RoboCop,Jos_© Padilha,102,1/30/2014,1709,5.7,110530926.1,220490244.3
1.904422,Transcendence,Wally Pfister,119,4/16/2014,1555,5.9,92109105.08,94908538.42
1.900038,The Other Woman,Nick Cassavetes,109,4/16/2014,1056,6.2,36843642.03,181253395.8
1.894706,Mr. Peabody & Sherman,Rob Minkoff,92,2/7/2014,592,6.8,133558202.4,251377196.9
1.875208,A Merry Friggin' Christmas,Tristram Shapeero,88,11/7/2014,32,4.7,0,0
1.840817,Sin City: A Dame to Kill For,Frank Miller|Robert Rodriguez,102,8/20/2014,857,6.2,59870918.3,36298002.43
1.827148,Tinker Bell and the Legend of the NeverBeast,Steve Loter,77,12/12/2014,177,7,0,0
1.811692,Rio 2,Carlos Saldanha,102,3/19/2014,659,6.5,94872378.23,460719091.2
1.805954,Dumb and Dumber To,Bobby Farrelly|Peter Farrelly,110,11/12/2014,790,5.5,36843642.03,156435350
1.7894,Before I Go to Sleep,Rowan Joffe,92,9/3/2014,470,6.1,0,13872052.16
1.779861,The Monuments Men,George Clooney,118,1/24/2014,1083,5.7,64476373.55,142754407.7
1.769987,Unbroken,Angelina Jolie,137,12/25/2014,981,7.2,59870918.3,150545826.6
1.754707,Selma,Ava DuVernay,127,12/25/2014,580,7.5,18421821.02,61517744.36
1.737699,Mommy,Xavier Dolan,138,5/22/2014,389,8,4513346.149,3218356.608
1.655717,Escobar: Paradise Lost,Andrea Di Stefano,120,10/11/2014,180,6.2,15658547.86,0
1.649733,Tinker Bell and the Pirate Fairy,Peggy Holmes,78,2/13/2014,190,6.5,0,18698148.33
1.649321,Wild,Jean-Marc Vall_©e,115,12/5/2014,677,6.9,13816365.76,48358699.57
1.638781,Pompeii,Paul W.S. Anderson,105,2/18/2014,837,5.1,119741836.6,108533660.8
1.63015,The Best of Me,Michael Hoffman,117,10/16/2014,535,7.2,23948367.32,33091313.28
1.58801,Annie,Will Gluck,119,12/19/2014,331,6.1,59870918.3,123262077.1
1.570083,Stonehearst Asylum,Brad Anderson,112,9/11/2014,247,6.6,0,0
1.545055,The Book of Life,Jorge R. Gutierrez,95,10/1/2014,531,7.3,46054552.54,89748446.35
1.542392,St. Vincent,Theodore Melfi,102,10/9/2014,531,7.1,11974183.66,50510085.49
1.541069,Need for Speed,Scott Waugh,130,3/13/2014,1117,6.2,60792009.35,187237211.3
1.53689,Two Night Stand,Max Nichols,86,9/26/2014,466,6.3,0,17143.34664
1.466453,Good People,Henrik Ruben Genz,90,9/26/2014,121,5.2,0,0
1.449046,The Hundred-Foot Journey,Lasse Hallstr_¶m,122,8/6/2014,352,7.2,20264003.12,81867328.81
1.440084,The Boxtrolls,Graham Annable|Anthony Stacchi,97,9/10/2014,498,6.6,55265463.05,99713420.94
1.398713,Big Eyes,Tim Burton,105,12/24/2014,710,6.8,9210910.508,26604343.5
1.394382,The Prince,Brian A Miller,93,8/22/2014,165,4.6,16579638.91,245550715.7
1.384508,Black Sea,Kevin Macdonald,115,12/5/2014,258,6.3,0,1079112.51
1.37667,Song of the Sea,Tomm Moore,93,9/6/2014,263,8,0,789855.84
1.375493,Marvel One-Shot: All Hail the King,Drew Pearce,14,2/4/2014,72,7.1,0,0
1.319416,The Signal,William Eubank,95,3/15/2014,400,5.8,3684364.203,553479.928
1.315737,White Bird in a Blizzard,Gregg Araki,91,8/14/2014,195,6.1,0,0
1.3155,Into the Storm,Steven Quale,89,8/6/2014,572,5.7,46054552.54,147929243.6
1.312103,Outcast,Nick Powell,98,9/26/2014,87,4.4,23027276.27,0
1.304588,3 Days to Kill,McG,113,2/14/2014,668,6,25790549.42,0
1.240895,Planes: Fire & Rescue,Roberts Gannaway,83,7/17/2014,223,5.9,46054552.54,139237453.6
1.220073,'71,Yann Demange,99,10/10/2014,274,6.6,0,1497553.122
1.214094,Sabotage,David Ayer,110,3/28/2014,422,5.4,32238186.78,16126939.24
1.211609,A Million Ways to Die in the West,Seth MacFarlane,116,5/22/2014,1074,5.9,0,0
1.197444,The Forger,Philip Martin,95,9/10/2014,74,5.3,0,0
1.196549,Frank,Lenny Abrahamson,95,5/2/2014,443,6.8,0,594275.0507
1.191423,Camp X-Ray,Peter Sattler,111,10/17/2014,232,6.7,921091.0508,0
1.146492,No Good Deed,Sam Miller,84,9/12/2014,105,5.8,12158401.87,49582713.52
1.142614,Still Alice,Richard Glatzer|Wash Westmoreland,99,12/5/2014,725,7.5,4605455.254,38499379.65
1.140302,"As Above, So Below",John Erick Dowdle,93,8/14/2014,501,6.1,4605455.254,36935751.14
1.136851,Foxcatcher,Bennett Miller,134,5/19/2014,645,6.5,22106185.22,11141793.68
1.111485,Playing It Cool,Justin Reardon,94,9/26/2014,171,5.6,0,0
1.077877,Endless Love,Shana Feste,103,2/12/2014,357,6.6,18421821.02,31388867.14
1.052381,The Rover,David Mich_´d,100,5/18/2014,164,6,11283365.37,2114293.583
1.041267,Think Like a Man Too,Tim Story,106,6/19/2014,175,6.2,22106185.22,64643485.26
1.039133,Suite Fran_§aise,Saul Dibb,107,11/5/2014,161,6.9,13816365.76,8386272.427
1.038367,The Two Faces of January,Hossein Amini,96,5/16/2014,175,5.4,0,4151783.831
1.027357,Walk of Shame,Steven Brill,95,5/2/2014,402,5.7,13816365.76,54536.88003
1.026924,Enemy,Denis Villeneuve,91,3/14/2014,629,6.6,0,3128693.921
1.018115,Annabelle,John R. Leonetti,99,10/2/2014,827,5.6,5987091.83,235130424.7
1.014673,Echoes,Nils Timm,88,7/5/2014,11,3.3,0,0
0.999341,Maya the Bee Movie,Alexs Stadermann,79,9/11/2014,14,5.6,0,0
0.989916,"I, Frankenstein",Stuart Beattie,92,1/22/2014,501,5.1,59870918.3,65539857.91
0.988081,That Awkward Moment,Tom Gormican,94,1/29/2014,713,6,7368728.406,23993576.31
0.984445,Palo Alto,Gia Coppola,100,5/9/2014,240,6.4,0,0
0.98174,Draft Day,Ivan Reitman,109,4/11/2014,207,6.5,24869458.37,26556109.64
0.979655,Brick Mansions,Camille Delamarre,90,4/22/2014,476,5.8,25790549.42,63460252.62
0.967846,The Babadook,Jennifer Kent,93,5/22/2014,1089,6.5,1842182.102,6149637.689
0.966048,Tammy,Ben Falcone,97,7/2/2014,381,5.1,18421821.02,92593075.79
0.965197,Boychoir,Fran_§ois Girard,106,9/4/2014,42,6.5,0,0
0.965064,Serena,Susanne Bier,102,10/12/2014,190,5.4,0,162472.1715
0.956582,Testament of Youth,James Kent,129,10/14/2014,151,7,0,1678458.167
0.954807,American Heist,Sarik Andreasyan,94,9/11/2014,116,4.3,9210910.508,0
0.944954,Bullet,Nick Lyon,87,2/25/2014,20,4.4,2763273.152,0
0.929125,The Skeleton Twins,Craig Johnson,90,9/12/2014,208,6.7,0,4867329.729
0.928771,Salting the Battlefield,David Hare,93,3/27/2014,19,6.3,0,0
0.926802,The Calling,Jason Stone,108,8/5/2014,52,5.7,0,0
0.92537,Winter's Tale,Akiva Goldsman,118,2/13/2014,327,5.9,55265463.05,28369817.14
0.920514,Pride,Matthew Warchus,117,9/12/2014,288,7.7,0,6929951.947
0.916578,Laggies,Lynn Shelton,100,9/25/2014,279,6.1,0,0
0.916435,The Guest,Adam Wingard,99,9/17/2014,402,6.6,4605455.254,2180370.813
0.900955,Frontera,Michael Berry,103,7/31/2014,30,6.1,0,0
0.897075,The Cobbler,Tom McCarthy,98,9/11/2014,364,5.4,0,0
0.896627,Blue Ruin,Jeremy Saulnier,90,4/25/2014,263,6.7,0,237995.1901
0.894732,How to Make Love Like an Englishman,Tom Vaughan,99,11/6/2014,102,5.5,0,0
0.893121,The Water Diviner,Russell Crowe,112,12/25/2014,287,6.8,20724548.64,14295354.29
0.890965,The Green Inferno,Eli Roth,100,9/4/2014,194,4.8,4605455.254,6294225.035
0.889247,Magic in the Moonlight,Woody Allen,97,7/25/2014,464,6.3,0,29787463.77
0.887576,Kite,Ralph Ziman,90,6/13/2014,55,4.2,0,0
0.876514,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,81,10/8/2014,380,6.2,25790549.42,92711635.87
0.876066,This Is Where I Leave You,Shawn Levy,103,9/10/2014,377,6.5,18237602.81,38037670.78
0.870104,The Homesman,Tommy Lee Jones,122,5/18/2014,150,6.2,14737456.81,2238241.121
0.86636,Son of a Gun,Julius Avery,108,10/16/2014,193,6.1,0,0
0.863235,Cold in July,Jim Mickle,109,5/23/2014,153,6.3,0,393690.8947
0.861117,The Double,Richard Ayoade,93,4/4/2014,217,6.4,0,184592.1731
0.833734,The Nut Job,Peter Lepeniotis,85,1/17/2014,233,5.4,0,0
0.829686,Skin Trade,Ekachai Uekrongtham,96,11/7/2014,33,5.6,8289819.457,0
0.81219,Open Windows,Nacho Vigalondo,101,7/4/2014,130,5.1,0,0
0.805839,Big Game,Jalmari Helander,90,9/5/2014,261,5.2,7829273.932,6908182.881
0.800344,The Bag Man,David Grovic,108,2/28/2014,83,5,0,52109.80511
0.797723,Jersey Boys,Clint Eastwood,134,6/5/2014,181,6.7,36843642.03,62032730.97
0.796721,About Last Night,Steve Pink,100,2/14/2014,165,5.8,11513638.13,45135933.7
0.786398,Million Dollar Arm,Craig Gillespie,124,5/9/2014,182,6.6,23027276.27,35284812.41
0.778247,Wish I Was Here,Zach Braff,120,1/18/2014,192,6.3,5066000.779,5050617.638
0.777096,Infinitely Polar Bear,Maya Forbes,87,1/18/2014,76,7,6171310.04,1317763.517
0.774259,Cymbeline,Michael Almereyda,97,9/3/2014,24,3.5,0,0
0.766932,Adult Beginners,Ross Katz,90,9/8/2014,61,5,0,100222.0751
0.763771,Zodiac,W.D. Hogan,89,8/16/2014,17,3.3,0,0
0.760779,Before We Go,Chris Evans,89,9/11/2014,319,6.3,0,34219.45363
0.757089,Under the Skin,Jonathan Glazer,108,3/14/2014,704,6,12250510.98,4955701.047
0.751773,Veronica Mars,Rob Thomas,107,3/13/2014,323,6.3,5526546.305,3210119.291
0.747577,Hector and the Search for Happiness,Peter Chelsom,114,8/14/2014,207,6.9,0,1035716.227
0.740796,Son of God,Christopher Spencer,138,2/28/2014,61,5.8,20264003.12,62450032.19
0.73558,Fed Up,Stephanie Soechtig,92,5/9/2014,73,7.3,0,0
0.72975,Batman: Assault on Arkham,Ethan Spaulding|Jay Oliva,75,8/12/2014,182,7.4,0,4210330.22
0.728025,Barefoot,Andrew Fleming,90,2/2/2014,129,6.5,5526546.305,13881.76323
0.72546,Justice League: War,Jay Oliva,79,2/2/2014,141,7,3223818.678,4748523.721
0.722877,The Zero Theorem,Terry Gilliam,107,1/2/2014,232,5.7,7829273.932,709890.3994
0.722465,Housebound,Gerard Johnstone,109,9/4/2014,217,6.4,0,0
0.716104,A Good Marriage,Peter Askin,103,10/3/2014,66,5.3,0,0
0.714661,When the Game Stands Tall,Thomas Carter,115,8/22/2014,94,6.2,13816365.76,27750597.1
0.708006,Turks & Caicos,David Hare,95,3/20/2014,24,6.3,0,0
0.707208,Toy Story That Time Forgot,Steve Purcell,22,12/2/2014,169,6.9,0,0
0.7057,Feast,Patrick Osborne,6,11/7/2014,318,8,0,0
0.704138,Jackie & Ryan,Ami Canaan Mann,90,9/1/2014,24,5.5,0,0
0.699699,The Riot Club,Lone Scherfig,107,9/19/2014,238,5.9,0,1976699.16
0.691851,The Scribbler,John Suits,88,9/19/2014,28,4.3,0,0
0.688635,Grace of Monaco,Olivier Dahan,103,5/14/2014,138,5.7,27632731.52,0
0.688179,Decoding Annie Parker,Steven Bernstein,91,5/2/2014,23,5.2,1842182.102,44571.59595
0.684152,The Little Death,Josh Lawson,96,6/13/2014,99,6.2,0,0
0.680611,In Your Eyes,Brin Hill,105,4/20/2014,170,7.2,921091.0508,0
0.678616,Bad Ass 2: Bad Asses,Craig Moss,91,4/8/2014,57,5.7,5066000.779,0
0.676471,Cuban Fury,James Griffiths,98,2/14/2014,86,5.8,0,0
0.671825,Dying of the Light,Paul Schrader,94,12/4/2014,83,4.4,13816365.76,0
0.667732,The Quiet Ones,John Pogue,98,4/1/2014,147,5.1,184218.2102,16427536.39
0.662295,Tokarev,Paco Cabezas,98,5/9/2014,204,5.2,19342912.07,0
0.660405,A Most Wanted Man,Anton Corbijn,121,7/25/2014,393,6.3,13816365.76,29064894.55
0.649574,Top Five,Chris Rock,102,12/12/2014,152,6.2,0,23427297.82
0.648465,Get on Up,Tate Taylor,139,8/1/2014,105,6.3,0,29393487.33
0.646337,The Pyramid,Gr_©gory Levasseur,89,12/4/2014,234,4.7,5987091.83,12771328.09
0.641676,Deliver Us from Evil,Scott Derrickson,118,7/1/2014,474,6,27632731.52,0
0.635214,Clouds of Sils Maria,Olivier Assayas,124,8/20/2014,173,6.8,6079200.935,1431375.493
0.632048,Kill the Messenger,Michael Cuesta,112,10/9/2014,247,6.5,4605455.254,2257452.317
0.631167,Calvary,John Michael McDonagh,100,4/11/2014,209,7,0,12239213.79
0.628637,Time Lapse,Bradley King,104,5/24/2014,198,6.3,0,0
0.623706,Sheâ__s Funny That Way,Peter Bogdanovich,93,10/27/2014,162,5.7,0,103158.5133
0.622166,What We Do in the Shadows,Jemaine Clement|Taika Waititi,86,6/19/2014,490,7.2,0,0
0.621645,Cut Bank,Matt Shakman,92,9/10/2014,52,4.8,4605455.254,0
0.615729,Honeymoon,Leigh Janiak,87,9/12/2014,137,5.3,921091.0508,8582.726411
0.609613,Starred Up,David Mackenzie,106,3/21/2014,202,6.9,0,50581.71505
0.609054,Space Station 76,Jack Plotnick,94,9/19/2014,55,4.4,0,0
0.602735,Locke,Steven Knight,85,4/10/2014,480,6.8,1842182.102,4269533.348
0.600919,"20,000 Days on Earth",Iain Forsyth|Jane Pollard,97,7/5/2014,46,6.8,0,0
0.599079,Dolphin Tale 2,Charles Martin Smith,107,9/12/2014,63,6.8,33159277.83,48287768.19
0.593558,The Longest Week,Peter Glanz,86,9/5/2014,86,5.1,0,0
0.593438,A Certain Justice,Giorgio Serafini|James Coyne,96,3/11/2014,11,3.1,0,0
0.59318,The Angriest Man in Brooklyn,Phil Alden Robinson,84,5/23/2014,112,5.5,0,0
0.593065,Hellion,Kat Candler,98,6/13/2014,26,5.3,0,0
0.590257,The Woman in Black 2: Angel of Death,Tom Harper,90,12/30/2014,270,4.9,921091.0508,24410131.45
0.5847,God's Pocket,John Slattery,88,5/9/2014,37,5.2,0,156563.3724
0.582629,Jessabelle,Kevin Greutert,90,8/29/2014,181,5,0,0
0.574398,Muppets Most Wanted,James Bobin,112,3/20/2014,222,6.2,46054552.54,74040166.02
0.571844,You're Not You,George C. Wolfe,104,10/10/2014,147,7.3,0,10579.65181
0.571571,The Drownsman,Chad Archibald,88,8/22/2014,18,4.1,0,0
0.561727,Search Party,Scot Armstrong,93,10/30/2014,42,5.3,18421821.02,0
0.560295,Gun Woman,Kurando Mitsutake,86,2/28/2014,19,4.7,0,0
0.56021,The Taking of Deborah Logan,Adam Robitel,90,10/21/2014,184,5.9,0,0
0.559472,Tusk,Kevin Smith,102,9/19/2014,206,4.9,2579054.942,1682561.628
0.557453,"Men, Women & Children",Jason Reitman,116,10/17/2014,248,6.4,0,424772.1912
0.552627,Shelter,Paul Bettany,105,9/12/2014,18,5.3,0,0
0.550723,Hello Ladies: The Movie,Stephen Merchant,85,11/22/2014,36,6.3,0,0
0.550625,Sx_Tape,Bernard Rose,85,5/16/2014,19,3.3,552654.6305,0
0.55046,What We Did on Our Holiday,Andy Hamilton|Guy Jenkin,95,9/26/2014,109,6.6,0,0
0.550453,The Anomaly,Noel Clarke,97,6/19/2014,104,4.7,0,0
0.550197,Stretch,Joe Carnahan,94,10/14/2014,163,5.8,0,0
0.548656,5 Flights Up,Richard Loncraine,92,9/5/2014,56,5.9,5526546.305,940361.1966
0.548529,A Haunted House 2,Michael Tiddes,87,4/17/2014,251,5.4,0,0
0.5415,Love & Mercy,Bill Pohlad,120,6/5/2014,162,7.2,0,26381683.55
0.540852,Heaven is for Real,Randall Wallace,99,4/16/2014,159,6.1,11053092.61,93336884.45
0.539017,Reach Me,John Herzfeld,95,3/14/2014,24,5.1,4605455.254,0
0.536511,In the Blood,John Stockwell,108,4/4/2014,77,5.2,9210910.508,0
0.535291,Lizzie Borden Took An Ax,Nick Gomez,91,1/25/2014,29,5.9,0,0
0.533347,Monsters: Dark Continent,Tom Green,119,10/9/2014,60,3.8,0,0
0.5252,Night Moves,Kelly Reichardt,112,4/23/2014,64,5.8,0,0
0.524765,Paper Planes,Robert Connolly,96,9/7/2014,32,6.3,0,0
0.519107,The Inbetweeners 2,Damon Beesley|Iain Morris,96,8/6/2014,156,5.9,0,0
0.518405,Barbie and the Secret Door,Karen J. Lloyd,81,8/30/2014,14,6.7,0,0
0.514113,Time Out of Mind,Oren Moverman,120,9/7/2014,31,5.4,0,0
0.512588,Citizenfour,Laura Poitras,114,10/10/2014,363,7.8,0,0
0.506605,A Little Chaos,Alan Rickman,117,9/13/2014,151,5.9,0,0
0.502296,Bears,Alastair Fothergill|Keith Scholey,78,4/17/2014,51,7.4,0,0
0.501533,The Possession of Michael King,David Jung,83,8/22/2014,75,5.6,0,0
0.498787,The Town that Dreaded Sundown,Alfonso Gomez-Rejon,85,10/16/2014,99,5.8,0,0
0.49584,The Legend of Hercules,Renny Harlin,99,1/10/2014,399,4.4,64476373.55,56443954.83
0.495519,Maps to the Stars,David Cronenberg,112,5/21/2014,255,5.6,0,1232756.024
0.494022,Zombeavers,Jordan Rubin,85,10/20/2014,124,4.8,0,13767.54794
0.491273,13 Sins,Daniel Stamm,88,4/18/2014,221,6.2,4605455.254,0
0.487316,Lemon Tree Passage,David Campbell,84,8/25/2014,15,4.8,0,0
0.485296,And So It Goes,Rob Reiner,94,7/20/2014,111,5.7,27632731.52,23315013.14
0.484272,Mr. Turner,Mike Leigh,150,10/31/2014,143,6.1,0,4978957.675
0.481391,Bad Johnson,Huck Botko,88,5/2/2014,32,4.6,0,0
0.480362,Northmen: A Viking Saga,Claudio F_¤h,97,9/27/2014,90,5.3,0,0
0.480194,Wolves,David Hayter,90,8/28/2014,42,5.3,16579638.91,0
0.476645,Roald Dahl's Esio Trot,Dearbhla Walsh,87,12/30/2014,25,6.8,0,0
0.472728,Burying the Ex,Joe Dante,89,9/4/2014,78,5.2,0,0
0.472703,Vampire Academy,Mark Waters,104,2/7/2014,402,5.8,0,0
0.472242,The Disappearance of Eleanor Rigby: Them,Ned Benson,119,5/14/2014,74,6.4,0,907281.1326
0.470651,Life After Beth,Jeff Baena,90,8/15/2014,141,4.8,2210618.522,81307.47032
0.466921,Out of the Dark,Llu_­s Qu_­lez,92,8/27/2014,30,4.5,0,0
0.466373,Kick,Sajid Nadiadwala,146,7/25/2014,43,6.2,0,0
0.466284,Cloud 9,Paul Hoen,90,1/17/2014,49,6.1,0,0
0.465438,Premature,Dan Beers,93,7/2/2014,67,5.1,0,0
0.461037,The Good Lie,Philippe Falardeau,110,9/9/2014,149,7.1,0,0
0.46087,Bad Country,Chris Brinker,95,3/10/2014,65,5.7,0,0
0.460188,GirlHouse,Trevor Matthews|Jon Knautz,100,10/16/2014,62,4.9,2901436.81,0
0.457089,The Mule,Tony Mahony,103,3/10/2014,34,5.8,0,0
0.453382,ABCs of Death 2,Chris Nash|Rodney Ascher|Bill Plympton|Erik Matti|Lancelot Oduwa Imasuen|Kristina Buozyte|Bruno Samper|Vincenzo Natali|Larry Fessenden|Julien Maury|Alexandre Bustillo|E.L. Katz|Sylvia Soska|Jen Soska|Aharon Keshales|Navot Papushado|Julian Gilbey|Dennison Ramalho|Jerome Sable|Robert Morgan|Hajime Ohata|S_´ichi Umezawa|Alejandro Brugu_©s|Todd Rohal|Julian Barratt|Jim Hosking|Robert Boocheck|Marvin Kren|Juan Mart_­nez Moreno|Steven Kostanski,125,10/2/2014,44,5.4,0,6605.143925
0.452644,Sharknado 2: The Second One,Anthony C. Ferrante,86,7/30/2014,105,4.7,0,0
0.451125,Love Is Strange,Ira Sachs,98,2/7/2014,68,6.4,0,2083713.36
0.449196,Walking on Sunshine,Max Giwa|Dania Pasquini,97,6/19/2014,61,6.1,0,0
0.447229,Jinn,"Ajmal Zaheer Ahmad 	",97,4/4/2014,19,3.6,0,137552.9742
0.446458,Miss Julie,Liv Ullmann,120,9/7/2014,15,5.4,5066000.779,4605455.254
0.445011,Flying Home,Dominique Deruddere,96,4/2/2014,48,6.3,0,0
0.444337,Redirected,Emilis Velyvis,99,1/10/2014,94,5.7,2486945.837,0
0.43549,Behaving Badly,Tim Garrick,92,4/14/2014,118,5,0,0
0.430844,Wrong Turn 6: Last Resort,Valeri Milev,91,8/22/2014,82,4.9,1105309.261,0
0.430708,Welcome to Me,Shira Piven,105,9/5/2014,88,5.7,0,0
0.430488,Alien Outpost,Jabbar Raisani,93,9/19/2014,58,4.1,0,0
0.428819,Just Before I Go,Courteney Cox,95,4/24/2014,76,6,0,0
0.427602,The Disappearance of Eleanor Rigby: Her,Ned Benson,100,10/10/2014,34,6.1,0,0
0.421838,October Gale,Ruba Nadda,91,9/11/2014,14,5.4,0,0
0.416516,Get Santa,Christopher Smith,102,12/5/2014,11,6.5,0,0
0.413991,Freezer,Mikael Salomon,88,1/17/2014,35,5.3,0,0
0.413295,Mercenaries,Christopher Ray,90,8/5/2014,21,4.2,0,0
0.411465,Reasonable Doubt,Peter Howitt,91,1/17/2014,157,5.5,7368728.406,0
0.409047,The Face of an Angel,Michael Winterbottom,100,9/6/2014,28,4.2,0,0
0.408464,The Single Moms Club,Tyler Perry,111,3/14/2014,32,6,0,15048675.98
0.407983,Song One,Kate Barker-Froyland,86,1/20/2014,58,5.7,5526546.305,29706.10748
0.40674,Rampage: Capital Punishment,Uwe Boll,93,7/19/2014,49,5.6,0,0
0.403579,A Girl Walks Home Alone at Night,Ana Lily Amirpour,99,1/19/2014,146,7,921091.0508,363830.9651
0.269741,Before I Disappear,Shawn Christensen,100,10/11/2014,44,5.9,0,7599.92226
0.401153,Afflicted,Clif Prowse|Derek Lee,85,4/4/2014,142,6.1,292906.9541,111616.8924
0.400689,The Swan Princess: A Royal Family Tale,Richard Rich,79,2/25/2014,14,5.6,27632731.52,0
0.399827,Addicted,Bille Woodruff,105,10/10/2014,46,5.3,0,0
0.398601,Beyond the Lights,Gina Prince-Bythewood,116,9/10/2014,95,6.9,6447637.355,13465178.61
0.398291,About Alex,Jesse Zwick,96,8/8/2014,41,6.5,0,0
0.397644,A Royal Christmas,Alex Zamm,90,11/21/2014,23,6.1,0,0
0.669807,A Long Way Down,Pascal Chaumeil,96,3/20/2014,258,6.2,0,6610068.999
0.39199,Lost After Dark,Ian Kessner,85,9/19/2014,12,4.8,0,0
0.390044,Pas son genre,Lucas Belvaux,111,4/30/2014,31,6,0,0
0.444439,The Pact II,Dallas Richard Hallam|Patrick Horvath,96,9/5/2014,37,4.5,0,0
0.386307,Moms' Night Out,Andrew Erwin|Jon Erwin,98,3/25/2014,92,5.7,4605455.254,9606709.78
0.382465,Son of Batman,Ethan Spaulding,74,4/20/2014,213,6.8,0,0
0.382434,Earth to Echo,Dave Green,89,7/2/2014,223,5.7,11974183.66,41725424.6
0.380607,Boulevard,Dito Montiel,88,4/20/2014,55,5.6,0,116195.6361
0.380414,Falcon Rising,Ernie Barbarash,103,9/5/2014,50,5.4,0,0
0.336024,The Damned,V_­ctor Garc_­a,87,6/20/2014,37,5.2,0,0
0.379113,Sleeping Beauty,Casper Van Dien,89,5/13/2014,16,5,0,0
0.378725,God Help the Girl,Stuart Murdoch,111,8/22/2014,74,6.7,0,0
0.375458,Wicked Blood,Mark Young,92,3/4/2014,24,4.9,3223818.678,0
0.389417,Avalanche Sharks,Scott Wheeler,82,1/1/2014,10,3.8,0,0
0.510296,Young Ones,Jake Paltrow,100,6/28/2014,63,5.4,0,0
0.366176,Catch Hell,Ryan Phillippe,98,10/10/2014,14,5.3,2302727.627,0
0.363927,Big Driver,Mikael Salomon,87,10/18/2014,26,4.9,0,0
0.363776,Jamesy Boy,Trevor White,109,1/3/2014,32,6,0,0
0.360727,Obvious Child,Gillian Robespierre,83,6/6/2014,145,6.7,0,2877454.362
0.360228,My Little Pony: Equestria Girls - Rainbow Rocks,Ishi Rudell|Jayson Thiessen,75,9/27/2014,16,6.7,0,0
0.359568,Red Sky,Mario Van Peebles,100,3/12/2014,16,3.8,23027276.27,0
0.358186,Stage Fright,Jerome Sable,89,4/3/2014,36,5.3,0,0
0.35561,Sword of Vengeance,Jim Weedon,86,10/3/2014,17,5.6,0,0
0.354648,The Coed and the Zombie Stoner,Glenn Miller,91,4/18/2014,10,3.9,0,0
0.352393,Reclaim,Alan White,96,9/19/2014,30,5.1,0,0
0.351449,Best Night Ever,Jason Friedberg|Aaron Seltzer,90,1/31/2014,20,3.8,0,0
0.350612,The Gambler,Rupert Wyatt,111,12/25/2014,405,5.6,23027276.27,36080177.29
0.350213,Tapped Out,Allan Ungar,105,5/27/2014,16,5.4,0,0
0.347108,Halo: Nightfall,Sergio Mimica-Gezzan,94,11/11/2014,52,5.2,0,0
0.346944,By the Gun,James Mottern,105,9/28/2014,14,3.9,0,0
0.346216,The Humbling,Barry Levinson,112,3/26/2014,18,4.7,1842182.102,0
0.34388,Plastic,Julian Gilbey,102,4/30/2014,69,6,9.210910508,0
0.343814,Road to Paloma,Jason Momoa,91,4/12/2014,13,5.3,0,0
0.34162,The Grand Seduction,Don McKellar,112,5/30/2014,63,6.7,11697856.34,3159358.884
0.340735,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",Mark Hartley,107,10/6/2014,25,7.2,0,0
0.340308,Joe,David Gordon Green,118,4/10/2014,207,6.5,3684364.203,2178810.485
0.340101,Let's Kill Ward's Wife,Scott Foley,81,12/23/2014,48,5.3,4605455.254,0
0.339749,Extraterrestrial,Colin Minihan,101,10/17/2014,100,4.6,0,0
0.338489,Haunt,Mac Carter,86,2/19/2014,51,5.1,0,0
0.369555,Olive Kitteridge,Lisa Cholodenko,233,11/2/2014,41,7.1,0,0
0.539598,Starry Eyes,Kevin Kolsch|Dennis Widmyer,98,7/29/2014,69,5.8,0,0
0.333035,Cantinflas,Sebastian del Amo,106,8/29/2014,21,5.3,0,0
0.33291,Manny,Leon Gast|Ryan Moore,106,12/31/2014,33,6.6,0,0
0.332041,7500,Takashi Shimizu,97,5/16/2014,138,4.3,0,0
0.331919,Free Fall,Malek Akkad,90,10/17/2014,17,4.7,1381636.576,0
0.330645,5 to 7,Victor Levin,98,4/19/2014,59,7.1,0,0
0.330541,Angry Video Game Nerd: The Movie,James D. Rolfe|Kevin Finn,115,7/21/2014,25,5.8,300208.4429,0
